,name,host_id,host_name,property_type,room_type,bedrooms,beds,bathrooms,bathrooms_text,accommodates,description,price,neighbourhood_cleansed,latitude,longitude,number_of_reviews,last_review,minimum_nights,availability_365,review_scores_rating
13,Viagem de Motorhome experiência de vida Fantástica,53460054,Rodrigo Nunes,Private room in bus,Private room,1.0,1.0,1.0,1 shared bath,2,,"$323,052.00",Pudahuel,-33.41054,-70.79417,0,,1.0,365,
14,Appt A/c + free parking in downtown near Subway,33980627,Javier,Entire rental unit,Entire home/apt,2.0,4.0,1.0,1 bath,5,"Renovated in April 2026!<br /><br />Look at the logo in each photo and look for the name on Insta GraM if you want more direct information about the apartment.<br /><br />Apartment  2 Bedrooms with Air Conditioning + free underground parking in the same building <br /><br />Located in downtown Santiago, in a civic neighborhood and close to the Metro station<br />Self check-in with an electronic lock<br />High-speed internet and Thermopanel Windows with Safety Mesh on all windows","$62,764.50",Santiago,-33.43521,-70.65821,30,2025-09-20,2.0,350,4.87
15,Habitaciones Casa particular,318710713,Cristy,Private room in casa particular,Private room,2.0,3.0,0.5,Shared half-bath,2,Forget your worries in this spacious and serene space.,,Quilicura,-33.3871848,-70.7265499,0,,1.0,365,
16,"Un hogar tranquilo, humilde y sencillo",718730722,Lorena,Private room in casa particular,Private room,3.0,3.0,1.0,1 shared bath,3,Take the whole family to this fantastic place with many areas to have fun.,,Peñalolén,-33.471535,-70.53874119999999,0,,1.0,365,
17,Diseño & Confort en Las Condes,545585756,Pablo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,4,"This special place is close to everything, making it easy to plan your visit.","$98,655.00",Las Condes,-33.41728,-70.60156,4,2026-05-27,1.0,352,4.0
18,Movistar Arena Santiago I 2D2B,751268440,Domus Rentals,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Depto 2H2B en Edificio Eco España, steps from Movistar Arena and Parque O'Higgins. Kitchenette with bar, balcony, 2 BA. <br /><br />Capacity for 4 guests with a double bed and a bunk bed. Modern building with 24h security and self check-in. <br /><br />Ideal for groups, families or fans who come to events and concerts in Santiago.","$69,134.00",Santiago,-33.4571849,-70.6700065,0,,2.0,355,
19,Apartament• Cozy • Safe • Near Downtown/Subway,696112661,Laura,Entire condo,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a stylish stay in this bright 12th-floor apartment near the metro, minutes from Santiago’s historic center (Santa Lucía Hill, Plaza de Armas, Bellas Artes Museum, La Moneda). King bed, single sofa bed, full kitchen with oven, microwave, fridge, blender, and coffee maker. Pool access. Surrounded by restaurants and parks, close to trendy Italia, Bellavista, and Lastarria neighborhoods.","$57,077.00",Ñuñoa,-33.45266,-70.62978,30,2026-05-29,2.0,309,4.97
20,Departamento en el corazón de barrio Lastarria,705651022,Mon,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,This place is strategically located to get to know Santiago de Chile! Close to the Universidad Católica and Bellas Artes metro stations! It will be very easy to plan your visit and access all the tourist and gastronomic attractions!,"$74,177.00",Santiago,-33.4378632,-70.6417989,0,,1.0,365,
21,Habitación Acogedora Santiago Centro cerca Metro.,325659761,Maria,Private room in bed and breakfast,Private room,,2.0,1.0,1 private bath,1,,"$42,933.00",Santiago,-33.45044,-70.66392,0,,1.0,365,
22,Studio Movistar Arena I Parque Ohiggins,751268440,Domus Rentals,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Eco España Building. <br /><br />Steps from Movistar Arena and O’Higgins Park, ideal for enjoying concerts, events, and wide green areas.","$37,659.00",Santiago,-33.45806,-70.67077,0,,2.0,347,
23,apartamento 2 habitaciones  pleno providencia,34010104,Angelica,Entire rental unit,Entire home/apt,2.0,5.0,1.0,1 bath,6,"Enjoy the simplicity of this quiet, centrally located place to stay. Located one block from the Pedro de Valdivia metro station, close to clinics, supermarkets, restaurants, and pharmacies.","$54,398.00",Providencia,-33.425054311916476,-70.61637081205845,0,,1.0,301,
24,Alojamiento 2 camas Santiago,107152483,Marcelo,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,2,"Comfortable and functional apartment in the heart of Santiago. It has 2 single beds, TV, equipped kitchen and private bathroom. Ideal for resting after a day of touring the city. Located in the downtown area, close to services, restaurants, metro and the main tourist attractions. Perfect for tourists, friends, or travelers passing through.","$50,000.00",Santiago,-33.441345305614924,-70.65595435021241,2,2026-05-31,1.0,361,5.0
25,Departamento moderno | Hasta 4 huéspedes,680117423,Cristian Camilo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,4,The whole group will enjoy easy access to everything from this centrally located place.,"$78,347.00",Santiago,-33.43981176196662,-70.6556107565265,0,,1.0,364,
26,Refugio IDEAL,571410029,Alfredo,Entire rental unit,Entire home/apt,3.0,4.0,3.0,3 baths,5,Make some memories at this unique and family-friendly place.,"$228,235.33",Providencia,-33.43384,-70.59627,0,,2.0,269,
27,Cómoda habitación privada a pasos del centro,325717925,Carola,Private room in condo,Private room,,1.0,1.0,1 shared bath,1,"Enjoy the simplicity of this quiet and centrally located accommodation.<br />This private room will make you enjoy your stay in Santiago.<br />You can walk to the center of the capital, the central Vega, the Patronato neighborhood, among other popular neighborhoods of the greater Santiago.<br />In about 15 minutes you will find the metro stations Cal y Canto (line 2) and Hospitales (line 4).<br /><br />IMPORTANT: Two beautiful pets, a cat and a small dog, live in the apartment. They are both very affectionate and friendly.","$22,823.50",Independencia,-33.42657,-70.65743,0,,2.0,363,
28,Habitación privada en Independencia,171192839,Isabel,Private room in rental unit,Private room,,1.0,1.0,1 shared bath,1,"Comfortable accommodation steps from the Independencia mall and 900 meters from the Cal y Canto metro station, private room and shared spaces with the host","$25,478.50",Independencia,-33.427285033916405,-70.65761983394623,1,2024-08-09,2.0,364,5.0
29,"Lindo, Acogedor y Limpio Ñuñoa | WIFI 600 Mbs | AC",668382809,Daniel Esteban,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Welcome to my apartment in Ñuñoa! 🏡<br />In this new apartment, you'll have all the comforts to do whatever you need: cook 🍳, do laundry 🧼 or relax 🌿. The Italia Neighborhood 🎨 is very close by, where you can enjoy its cuisine 🍝🍷. You are just 190 meters from the Irarrázaval station 🚇, which connects you to downtown Santiago, Providencia 🛍️ and Costanera Center.<br />There are supermarkets less than 200 meters away 🛒. Write to me and get your questions answered.","$60,244.00",Ñuñoa,-33.4535032,-70.6301634,23,2026-06-09,2.0,42,4.96
30,casa,552727419,Pedro,Private room in home,Private room,2.0,2.0,1.0,1 bath,3,,,Las Condes,-33.4104993,-70.54407429999999,0,,1.0,269,
31,Apartamento 3D- 2B,484878892,Paula Andrea,Entire rental unit,Entire home/apt,3.0,5.0,2.0,2 baths,6,"✨🌺Immerse yourself in the vibrant heart of Santiago! Discover our cozy three-bedroom, two-bathroom apartment with a terrace in the city center. Enjoy modern comfort in an elegant and cozy space, surrounded by the energy and culture of the Chilean capital. Your perfect getaway awaits you at this unique accommodation in downtown Santiago<br />Parking is available on-site for a fee","$156,113.00",Santiago,-33.44137,-70.65751,23,2026-01-04,1.0,365,4.78
32,habitación cómoda,437432965,Liliana,Private room in home,Private room,,1.0,1.0,1 bath,2,Relax in this accommodation where tranquility is breathed.,"$18,530.00",Maipú,-33.53983,-70.77208,0,,1.0,269,
33,Hospedaje Pudahuel,187829356,Amanda,Private room in home,Private room,,1.0,1.0,1 shared bath,1,"If you're passing through Santiago, you have a layover, or you just need to rest and recover after a flight, we have the best option for you to rest. Comfortable, quiet place and attended by its owner.","$34,235.00",Pudahuel,-33.43277737710674,-70.76992023736238,0,,1.0,365,
34,"Habitación en Maipu, Santiago de Chile",263752857,Angel Ricardo,Private room in condo,Private room,,1.0,1.0,1 shared bath,2,"Room in a residential complex, downtown Maipú, close to public transportation","$13,694.00",Maipú,-33.50835,-70.74749,0,,2.0,363,
35,Habitación acogedora en Manuel Mont,17894399,Doug,Private room in condo,Private room,1.0,1.0,1.0,1 private bath,2,"Private room (shared apartment) in Providencia, steps from the Manuel Montt Metro, with excellent connectivity and nearby services. The room is cozy and functional, with an exclusive bathroom (located in the hallway). Apartment located in the historic Veneto building, a quiet and well-connected neighborhood.","$45,647.00",Providencia,-33.4295953,-70.6222894,0,,1.0,179,
36,A una cuadra metro Bilbao.,425605285,Martin,Entire rental unit,Entire home/apt,2.0,2.0,1.0,1 bath,4,"Two king beds in each bedroom with cable TV in each bedroom, one block from Bilbao metro, very quiet, no noise.","$52,179.00",Providencia,-33.43356,-70.58589,1,2023-07-15,2.0,358,5.0
37,sectores turísticos,701106122,Blume,Private room in casa particular,Private room,,1.0,0.5,Private half-bath,1,The whole group will enjoy easy access to everything from this centrally located place.,"$44,438.00",Ñuñoa,-33.4562766,-70.61018709999999,0,,1.0,363,
38,Cómodo a pasos de Metro,417349105,Maria Paz,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy the simplicity of this quiet and central accommodation.<br />comfortable, steps from the metro and shops<br />Ideal for relaxing","$92,663.50",Ñuñoa,-33.45414945392342,-70.61743510711273,0,,2.0,89,
39,casa estudio,478612282,Kevin,Entire home,Entire home/apt,1.0,1.0,1.0,1 bath,1,Take it easy at this unique and tranquil getaway.,"$23,476.00",Cerrillos,-33.49793,-70.729,0,,1.0,365,
40,El Golf Boutique,477728999,Cristian,Entire rental unit,Entire home/apt,2.0,2.0,1.0,1 bath,4,"Located in El Golf, one of the most exclusive and safest neighborhoods in Santiago, within walking distance of excellent restaurants, shops and shopping centers. Comfortable and private apartment on the first floor, with elegant, warm and well-kept decor. Ideal for up to 4 people looking for rest, style and an unbeatable location.<br />Important: Laundry, backyard, and intercom are not available for guest use.","$187,153.00",Las Condes,-33.4122852,-70.6009716,6,2026-06-14,1.0,315,5.0
41,Departamento con hermosa vista,334045197,Pau,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,3,"2 bedroom apartment, 2 bath with beautiful view in Ñuñoa. <br />The building has a pool, quincho (prior reservation) and gym. It is located one block from the supermarket, 2 blocks from Villa Freí subway station and 4 blocks from Plaza Ñuñoa, a family meeting area and gastronomic area. In the sector you can find pharmacy 24 hrs and a gas station. It is also 3 metro stations from the National Stadium and 10 minutes by car. Del Mall Plaza Egaña is a 5-minute drive and 1 metro station.","$77,499.50",Ñuñoa,-33.4538736,-70.6015986,11,2026-05-01,2.0,318,4.91
42,"Apartamento confortable, Santiago centro.",747818945,Stephany Ellery,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,,,Santiago,-33.447751763003765,-70.63773393630981,0,,1.0,365,
43,A 1 cuadra del metro Orientales,188311972,Camilo Piña,Entire rental unit,Entire home/apt,1.0,4.0,1.0,1 bath,4,Get comfortable and enjoy plenty of extra room at this spacious place.,"$45,647.00",Peñalolén,-33.4645309904038,-70.57473186403513,0,,2.0,268,
44,Depto. 5 Estación Central,485335565,Belen,Entire rental unit,Entire home/apt,1.0,,,1 bath,2,Enjoy easy access to everything from this perfectly located home base.,"$31,312.00",Estación Central,-33.45531,-70.69054,16,2026-06-14,1.0,55,4.56
45,Hermosa casa en Ñuñoa,166674654,Guido,Entire home,Entire home/apt,3.0,4.0,2.0,2 baths,6,"Cozy house for 6 people in the Botanical Park neighborhood; quiet, ideal for hiking. 15 minutes from 2 Metro stations, Lines 3 and 4. Quick access to the city's main attractions.","$306,527.00",Ñuñoa,-33.44597,-70.58138,42,2026-05-09,1.0,355,4.95
46,Eco Depto Estudio (El Golf) A9,672951658,Carolina,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,Live with Consciousness and Exclusivity.<br /><br />Located in a restored house with sustainable design. We occupy electricity from renewable sources (without fossil energy) we have digital access with keys. The original Trees are integrated as living pillars within some spaces .<br /><br />Furnished with recycled wood furniture to help combat deforestation and global warming. Schedule your visit and  contribute to the environment.,"$52,115.00",Las Condes,-33.41450557488388,-70.5865895,2,2026-03-23,1.0,332,4.0
47,-*Depto. familiar para 7 personas,107152483,Marcelo,Entire rental unit,Entire home/apt,3.0,6.0,2.0,2 baths,7,"Spacious and cozy, equipped with comfortable beds, TV, full kitchen and private bathroom. Perfect for large families or groups looking for comfort and proximity to the main tourist attractions, restaurants, supermarkets and metro stations. An ideal choice to enjoy Santiago with everything within reach.","$128,000.00",Santiago,-33.44058764766988,-70.657721345096,0,,1.0,321,
48,Cozy Yungay Studio with Pool & Gym,1685730822408196891,Rodrigo Jiménez,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Experience the essence of Santiago in this modern studio located in the historic Barrio Yungay. Designed for comfort and functionality for 2 guests, this space is the ideal retreat after exploring nearby museums and cafes. Relax in the seasonal pool, stay fit in the building's gym, or simply unwind in a cozy atmosphere. Live the heritage culture with all contemporary amenities at your fingertips. Your Santiago adventure starts here!","$64,322.00",Santiago,-33.4421252,-70.669626,1,2026-06-11,1.0,347,4.0
49,Comfortable deparment in Providencia,104111331,Melissa,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,3,"My apartment is very well located in the commune of Providencia, a residential sector. A 10-minute walk from the Los Leones subway and downtown Providencia, restaurants, nearby squares, supermarkets, I live in front of a mini market. A quiet place with little bustle. <br />Very close to the Costanera Center and tourist attractions. <br />My space is a warm and functional place, designed to make you feel at home. My accommodation is good for couples.","$173,506.00",Providencia,-33.43319,-70.60342,0,,5.0,269,
50,Hola Verano,169489550,David,Private room in rental unit,Private room,8.0,12.0,3.0,3 baths,8,"From this centrally located accommodation, the whole group will have easy access to everything. No Schedule Restrictions<br />Excellent schedule, price","$17,235.00",Santiago,-33.46497570671591,-70.6293473392725,2,2025-01-23,1.0,264,4.5
51,Cómodo Departamento céntrico P. 16-1,534412346,Aida,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,3,Make some memories at this unique and family-friendly place.,"$53,293.00",Santiago,-33.4426048,-70.6591972,3,2025-05-18,2.0,270,4.67
52,Acogedor apartamento en excelente ubicación,754965153,Ignacio Benjamin,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,4,"Beautiful and cozy apartment in an excellent location, with access to supermarkets and pharmacies, and close to the Line 3 and 5 subway station, just minutes from the Italia neighborhood where you can enjoy a wide variety of cuisine.","$42,223.50",Santiago,-33.460121819257196,-70.62918327790223,0,,2.0,345,
53,Apart Hotel Agustinas Plaza,115345563,Alberto,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Enjoy the simplicity of this quiet and central accommodation, there is free WiFi.<br />The apartment has light wood parquet or carpeted floors, touches of contemporary art, and cable TV. They include a private bathroom with a bathtub, a fully equipped kitchen, and bed linens and towels.<br />24-hour front desk service, self-service laundry room and private parking at an additional cost and upon reservation.","$56,842.67",Santiago,-33.439453965394115,-70.64535316449296,0,,3.0,364,
54,"Cómodo, 100% recomendable",330556216,Sigifredo,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"This stylish place is great for group trips. Everything is within easy reach. Supermarkets, pharmacies, Pub, metro stations. Here you will discover that you will really rest in a safe environment.","$63,618.86",Santiago,-33.44888837117656,-70.63249826431274,3,2023-10-29,7.0,363,4.33
55,residencia república,655105251,Marcos Rolando,Private room in guesthouse,Private room,1.0,1.0,1.0,1 private bath,2,"Cozy room steps from the Republic metro, close to Movistar Arena, central station, La Moneda","$31,953.00",Santiago,-33.44935682956461,-70.66709859435616,0,,1.0,365,
56,"Esplendida Habitación, Santiago Centro",250373180,Cristian,Private room in rental unit,Private room,,2.0,1.0,1 shared bath,2,"Private room (Lautaro Room) , with shared bathroom, in Santiago downtown, excellent location, near park ohagro, caupolican theater, arena, lollapalooza, national stadium, and Hipico club, Cousiño theater, theater, close to metro station ohiggins, price, cold and hot water, cable TV, dining room, washing machine, iron, refrigerator, refrigerator, closet.","$21,714.50",Santiago,-33.46177,-70.65422,92,2026-06-21,2.0,365,4.88
57,Confortable Apto.Santiago Centro Metro-Almagro,54731751,Kely Johana,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"In downtown Santiago and fully equipped!! Two blocks from the Almagro subway, it has a panoramic balcony on the 10th floor, near Barrio Lastarria, Bellas Artes Museum, Presidential Palace. Bathroom in Suite Hot shower ( Towels, liquid soap, Shampoo, Hair dryer,Paper H. Heating, Fan, Bed clothes, Refrigerator,  Smart TV, Iron, SofaCama. Netflix/Youtube /Wifi. 24-hour reception. Supermarkets, Cafes, Restaurants, Plaza Armas, Shops, Museums, Banks, H. Catolica Universities","$39,941.00",Santiago,-33.44877,-70.64992,22,2020-06-07,2.0,363,4.55
58,Dpto. NUEVO Las Condes Piscina Cowork Gym Parking,739994490,Alicia Del Carmen,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Be among the first to live in this NEW apartment (2026)! On the 9th floor and with a butterfly design (2D/2B). It has a walk-in closet, full kitchen, Smart TV, fast WiFi and a large private terrace.<br /><br />Top location:<br />6 min walk: Manquehue Metro<br />3 min walk: Supermarket<br />15 min walk: Parque Arauco Mall and Parque Araucano<br /><br />Premium Amenities: Pool, Coworking, Gym and Rooftop with barbecues. Includes private parking, 24/7 security, and self check-in with an electronic lock.<br /><br />The ideal place for your stay!","$148,353.00",Las Condes,-33.4058377,-70.5674074,14,2026-07-01,2.0,324,5.0
59,Las condes |Renovado| Centros de Ski | Shopping,322232050,Julio,Entire condo,Entire home/apt,2.0,5.0,2.0,2 baths,6,"Modern apartment with capacity for up to 6 people in the heart of Las Condes ideal for families and executives. Enjoy a comfortable and functional stay in one of the safest and most connected areas of Santiago, steps from Mall Parque Arauco, Metro Manquehue, restaurants, cafes, supermarkets, parks, clinics and corporate centers.<br /><br />It has:<br />2 bedrooms, 2 bathrooms + 2-seater sofa bed<br />Fully-equiped kitchen.<br />Washing and drying machine<br />Fiber Optic WiFi and Smart TV<br />Terrace<br />Self check-in<br />2 Parking spaces","$115,475.50",Las Condes,-33.4052555,-70.5702805,32,2026-05-28,2.0,336,4.84
60,1001 Depto Barrio brasil-Cummings genial,104707454,Victor Ariel,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Relax in this quiet and elegant space. Located in the Cumming-Brasil neighborhood, close to the historic center and with the amenities to have a good stay in Santiago.<br />Close to the Cumming and Republica metro stations, ideal for coming to concerts at Movistar, the Republica university neighborhood, getting to know the bohemian side of Santiago, and other things to do in the capital.","$57,906.00",Santiago,-33.44199625739598,-70.67015144999874,5,2026-03-12,1.0,365,4.6
61,Departamento Estudio.,30334464,Jorge,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Studio apartment, ideal for spending a few days in Santiago, very central and safe, close to the most touristy places in Santiago.  Relax in this unique and quiet getaway.","$39,941.00",Santiago,-33.44584,-70.65329,68,2026-05-15,1.0,265,4.71
62,Casa dos pisos en barrio familiar y tranquilo,503671244,Cristian,Entire home,Entire home/apt,3.0,3.0,3.0,3 baths,4,"Relax with the whole family in this quiet place to stay<br />Bedrooms on the 2nd floor with squares and parks very close by, supermarket and transportation, subway, located in a passage providing more security for your surroundings, has everything for a complete pleasant stay in a cool space ideal for the summer season with a custom patio to enjoy the afternoon.<br />Laundry room, equipped kitchen, large dining room, parking.","$84,543.00",Providencia,-33.43728,-70.58968,0,,1.0,361,
63,Studio Barrio Brasil I 2 camas I Santiago Centro,751268440,Domus Rentals,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,4,"The building is located at Gral. Bulnes 158, in the heart of Santiago, in a strategic sector close to the main tourist attractions, business centers and transport connections.<br /><br />Connectivity<br /><br />Steps from the Metro (Line 1 and/or Line 5 depending on the nearby station)<br /><br />Great access to public transportation<br /><br />Quick connection to urban highways<br /><br />Close to Santiago Historical Center<br /><br />Ideal for tourists, corporate travelers, and medical stays.","$51,353.00",Santiago,-33.4433229,-70.6696705,0,,2.0,350,
64,Excelente Ubicación en Las Condes,108819078,Sebastian,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Modern, comfortable, and fully equipped apartment in a modern building. Ideal for sightseeing or work, with a fully equipped kitchen, Wi-Fi, a cozy living room, and everything you need for a convenient stay in Santiago. Located in an excellent neighborhood, close to the Escuela Militar Metro station, shops, and amenities. Includes private parking.","$68,470.50",Las Condes,-33.41371509771934,-70.58662142920113,5,2026-06-10,2.0,251,5.0
65,Departamento 2 piezas 5 pers.barrio bellavista,125064085,Carlos,Entire rental unit,Entire home/apt,2.0,2.0,1.0,1 bath,5,,"$36,232.57",Santiago,-33.43802,-70.64994,0,,7.0,269,
66,Studio Cercano a Paseo Ahumada I Metro,751268440,Domus Rentals,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Metro station Universidad de Chile.<br /><br />Close to Palacio de La Moneda, Paseo Ahumada, and Plaza de Armas.<br /><br />Supermarkets, restaurants, pharmacies and banks nearby.<br /><br />Ideal for walking around the historic center, museums and tourist attractions.<br /><br />Direct connection to buses and metro to visit any point in the city.","$37,659.00",Santiago,-33.446496,-70.649261,0,,2.0,362,
67,Dpto. Bello a pasos Metro Lucia,599458590,Antony,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy this beautiful, safe and very central apartment, fully equipped next to the Santa Lucia metro, close to Universities, Clinics and Hospitals. <br />It has everything you need: an additional futon, event room, Quincho with spectacular panoramic view, fiber optic Internet, premium cable channels, swimming pool, space to work, etc.","$36,310.47",Santiago,-33.44647581700504,-70.6424421945081,0,,15.0,365,
68,Habitación en providencia,214453387,Bernardita,Private room in rental unit,Private room,,1.0,1.0,1 shared bath,2,"Enjoy getting to know Santiago, the room is located next to the subway and in the heart of Tobalaba, full of bars and places to visit.","$30,006.00",Providencia,-33.43526755234267,-70.58366999030113,0,,1.0,364,
69,Prime25|Gran depto. metro Irarrazaval- Ñuñoa,440368427,Prime Rentals Chile,Entire rental unit,Entire home/apt,2.0,3.0,1.0,1 bath,4,"Enjoy this modern and elegant apartment, carefully equipped and decorated to provide you with a comfortable and cozy stay. We have put special care into every detail to make you feel at home.<br /><br />Located steps from the Irarrázaval Metro station, it has excellent connectivity and is close to attractions such as Cerro San Cristóbal, the Santiago Cable Car, Barrio Italia and a wide variety of restaurants, coffee shops and shops.","$100,193.00",Ñuñoa,-33.4535032,-70.6301634,35,2026-06-13,2.0,335,4.97
70,cercano a hospital falp y salvador,718222383,Matias Alférez,Private room in home,Private room,1.0,1.0,1.0,1 shared bath,2,useful and practical spaces...,"$25,106.00",Providencia,-33.43849973260074,-70.61760579795148,2,2026-06-27,1.0,335,5.0
71,A pasos del metro Cristóbal Colón,120592105,José Javier,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,Excellent apartment just steps from the Cristóbal Colón metro. Very comfortable and well decorated.,"$80,711.67",Las Condes,-33.42569,-70.58975,55,2026-05-26,15.0,319,4.95
